ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,USD Purchase Amount,USD Purchase Amount Clean
98,FRA,Limited,RENEWAL,Web,35.97,USD,2019-09-22,2020-06-22,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,35.97,35.97
100,ALL,Lifetime,INITIAL_PURCHASE,Web,110.0,GBP,2020-02-11,2099-01-01,No,No,Off,Europe,Consumer,Web,No,Yes,2,1,0,1,0,138.6,138.6
103,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-02-23,2099-01-01,No,No,Off,Other,Other,Unknown,No,No,7,1,0,1,0,199.0,199.0
105,FRA,Limited,RENEWAL,Web,35.97,USD,2019-10-18,2020-07-21,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,4,0,2,0,35.97,35.97
106,ENG,Limited,RENEWAL,Web,79.0,USD,2019-07-14,2020-02-08,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,274,243,7,74,1,79.0,79.0
108,KOR,Limited,INITIAL_PURCHASE,Web,0.0,EUR,2019-02-17,2021-02-17,Yes,No,Off,Europe,Consumer,App,Yes,Yes,42,12,0,6,0,0.0,0.0
114,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-05,2099-01-01,No,Yes,Off,Other,Consumer,Web,No,Yes,5,5,0,1,0,189.0,189.0
115,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-10-11,2019-10-11,No,No,Off,US/Canada,Consumer,Web,No,Yes,54,1,1,1,1,0.0,0.0
119,ARA,Limited,INITIAL_PURCHASE,Web,44.5,EUR,2019-12-12,2020-06-16,No,Yes,Off,Europe,Consumer,Web,No,Yes,12,12,12,2,2,48.95,48.95
120,TUR,Limited,INITIAL_PURCHASE,Web,70.29,USD,2018-10-19,2020-10-31,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,70.29,70.29
123,ALL,Lifetime,INITIAL_PURCHASE,Web,216.11,USD,2020-03-13,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,19,13,5,4,1,216.11,216.11
125,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-10-25,2020-01-24,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,99,2,1,2,1,35.97,35.97
126,ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,2020-02-26,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,10,1,0,1,0,218.9,218.9
129,DEU,Limited,INITIAL_PURCHASE,Web,62.3,EUR,2020-03-24,2020-09-30,No,Yes,On,Europe,Consumer,Web,No,Yes,13,7,5,3,2,68.53,68.53
135,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-27,2099-01-01,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,13,1,0,1,0,189.0,189.0
137,ITA,Limited,INITIAL_PURCHASE,Web,53.4,EUR,2019-10-30,2020-04-30,Yes,No,On,Europe,Consumer,App,No,Yes,4,4,0,1,0,58.74,58.74
141,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-11-25,2020-02-25,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,9,9,0,2,0,0.0,0.0
144,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-16,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,57,8,8,2,2,199.0,199.0
